time,phi,phidot,theta,thetadot,x_ball,y_ball
0.0,0.0,0.0,-0.00010044796568938273,0.0,0.49999999858742883,-2.8125430345730533e-05
1.0003013480270633e-06,2.111703251924379e-11,4.2221318781331344e-05,-0.00010044800616524469,-8.092728992397328e-05,0.4999999985874284,-2.8125431120455595e-05
1.1003314828297697e-05,2.554994351720409e-09,0.0004643739498281943,-0.00010045286292944149,-0.0008900768679982618,0.499999998587363,-2.8125524075767818e-05
6.800115052994098e-05,9.734493923964987e-08,0.0028558461931925986,-0.00010063452133897519,-0.005472192226303822,0.4999999985849176,-2.812899345787047e-05
0.00013960029830327664,4.069536770326776e-07,0.005768475887708789,-0.00010122747146030332,-0.011041840750629639,0.499999998576913,-2.8140215122543753e-05
0.00022034381662930735,9.979333307210141e-07,0.008818226527369319,-0.00010235754681352095,-0.01684452323013949,0.4999999985615625,-2.8161146393829276e-05
0.00030813842238230297,1.9027690203491568e-06,0.011708424014679888,-0.00010408297959349502,-0.022286653459199376,0.49999999853789046,-2.819184972621829e-05
0.0004022153369564815,3.1252645330144986e-06,0.01415702408050985,-0.00010640369581464684,-0.02679774546955958,0.4999999985056248,-2.82304025101864e-05
0.0005027221193335832,4.643138688455494e-06,0.015884257622377895,-0.00010926498673323877,-0.029807316289373394,0.49999999846522625,-2.827262688764186e-05
0.0006109852814401584,6.412800022691659e-06,0.01660493841941311,-0.00011256419285320922,-0.030727893943607587,0.49999999841793985,-2.8311573931743192e-05
0.0007312649794378579,8.387366731977222e-06,0.01598133022757396,-0.00011617741606332409,-0.028850166882612473,0.4999999983656445,-2.8335993073319384e-05
0.0008667850450719512,1.041064760473018e-05,0.013603234983336553,-0.00011975057602021331,-0.023322494855772317,0.49999999831434727,-2.8324837422334142e-05
0.0009723401674007238,1.1701575191537429e-05,0.010728499174174453,-0.00012188902286936577,-0.01693485007072768,0.49999999828515973,-2.8278138745281044e-05
0.0010654941003256455,1.2560856846685357e-05,0.0076530354918902,-0.0001231592978995444,-0.010201095443318762,0.49999999827016267,-2.8204174925469803e-05
0.0011484296182100113,1.3072429946449228e-05,0.00465643895624859,-0.00012373719321544374,-0.0036795841942015243,0.49999999826666575,-2.811019906393528e-05
0.0012183170396132237,1.33071547771757e-05,0.002058408238067095,-0.00012379729979173468,0.0019643330725359056,0.4999999982713911,-2.8009666490236924e-05
0.0012881710690742028,1.3360918932573792e-05,-0.0005058962421560422,-0.00012346442508586041,0.007539399622917458,0.499999998283174,-2.7889579495552642e-05
0.0013598670174733945,1.3233901630532605e-05,-0.003007313725210503,-0.000122726092214335,0.012995706864107427,0.49999999830233954,-2.7746354943575415e-05
0.0014367909561925304,1.2907090918733207e-05,-0.005436936782341788,-0.00012151702789949731,0.018332225126233788,0.49999999833021824,-2.757122229278329e-05
0.001521474108220689,1.2347972987276454e-05,-0.007682931196835396,-0.00011974547888640835,0.023333999334074512,0.49999999836843667,-2.735474753681696e-05
0.001612677414821435,1.1560495553509107e-05,-0.009465380466438699,-0.00011741962472623379,0.02742473096392977,0.4999999984164374,-2.7097247091288116e-05
0.0017103577252958195,1.0576945447100998e-05,-0.010516351074787447,-0.00011459657455216966,0.03005856726742438,0.49999999847288246,-2.6798568098577014e-05
0.0018157303640118372,9.456266625466884e-06,-0.010561877318450534,-0.0001113756275391686,0.030683730324814334,0.4999999985359058,-2.6457042348859097e-05
0.0019331624275476147,8.278738830480351e-06,-0.009258816841738455,-0.00010786537142664528,0.02862349302928477,0.49999999860401123,-2.6062934538150976e-05
0.002059450152726286,7.276401541160502e-06,-0.006377413688099121,-0.00010455024233567517,0.02339377887464933,0.499999998669468,-2.563586704046978e-05
0.002156937823133041,6.8005575356347965e-06,-0.003273722251567875,-0.00010254269409439133,0.017565857023845312,0.49999999871159484,-2.5311675537667846e-05
