Link,Material,Length_m,Mass_kg,Izz_kgm2,AreaMoment_m4,E_Pa,k_Nm_rad
A,Aluminum 6061,0.22,0.017820000000000003,7.187400000000001e-05,5.725e-10,69000000000.0,
B,Unidirectional Carbon Fiber,0.28,0.09007574456372655,0.0005884948644830136,6.433981754551898e-09,125000000000.0,2872.313283282097
